provenance_id,provenance,latitude,longitude
provenance_165,St-Lambrecht,47.066667,14.3
provenance_060,Germany,51.216667,9.383333 
provenance_081,Lambach Abbey,48.090833 ,13.877222
provenance_049,English,53,-1
provenance_174,St. Gallen,47.423056 ,9.377222
provenance_162,Southern Germany / Austria,47.766943,12.457000
provenance_149,S. Orso,45.7393 ,7.3253
provenance_176,St. Martial,45.8353,1.2625
provenance_071,Italy,44.998683,10.402068
provenance_216,Zutphen,52.14 ,6.195
provenance_186,Tongeren,50.780833 ,5.464722
provenance_003,Albi,43.928889,2.146389
provenance_077,Kraków,50.061389,19.937222 
provenance_179,St. Pölten,48.2,15.616667
provenance_094,Marseille,43.2975 ,5.377222
provenance_183,Tavèrnoles,41.953611 ,2.327778
provenance_133,Quedlinburg,51.8 ,11.15
provenance_016,Augsburg,48.368889,10.897778
provenance_124,Piacenza,45.05 ,9.7
provenance_001,Aachen,50.766667 ,6.1
provenance_151,Salamanca,40.965,-5.664167
provenance_051,Esztergom,47.783333,18.733333
provenance_160,Sens,48.1975,3.2877
provenance_074,Kielce,50.883333,20.616667
provenance_035,Chiavenna,46.316667,9.4
provenance_019,Bamberg,49.891667,10.891667
provenance_090,Mainz,49.998719,8.274773
provenance_185,Toledo,39.866667,-4.033333
provenance_076,Klosterneuburg,48.3,16.316667
provenance_123,Pavia,45.183333,9.15
provenance_196,Utrecht,52.090833,5.121667
provenance_205,Vorau,47.405347,15.885509
provenance_217,Zwiefalten,48.2325,9.464167
provenance_211,Worcester,52.188901,-2.221265
provenance_213,Würzburg,49.783333,9.95
provenance_014,Arras,50.283333,2.783333
provenance_150,Saint-Amand,46.723611,2.505556
provenance_088,Lubiąż,51.267222,16.475556
provenance_073,Jumièges,49.431944,0.819167
provenance_029,Cambrai,50.176667,3.235556
provenance_047,Einsiedeln,47.127778,8.743056
provenance_068,Hilwartshausen,51.450278,9.641111
provenance_132,Prüm,50.208056,6.424444
provenance_052,Firenze,43.783333,11.25
provenance_028,Burgos (?),42.35,-3.7
provenance_140,Rein,47.1351,15.2851
provenance_153,Salzinnes,50.463056,4.853611
provenance_023,Benevento,41.132043,14.774448
provenance_126,Poissy-St Louis,48.928611,2.041944
provenance_212,Wrocław,51.10947,17.0327 
provenance_167,St-Maur-des-Fossés,48.799444,2.499722
provenance_103,Muenster,51.964112,7.621824
provenance_127,Pozzeveri,43.8204900,10.6558711
provenance_020,Barnwell,52.45027,-0.46375
provenance_180,St. Taurin,49.023663,1.141331
provenance_075,Kirnberg,48.070739,15.324166
provenance_079,Kremsmünster,48.055608,14.127765
provenance_164,St-Florian,48.208889,14.379444
provenance_199,Venice,45.4375 ,12.335833
provenance_190,Tours,47.393611,0.689167
provenance_197,Vallombrosa,43.731944,11.557778
provenance_207,Weingarten,47.809167,9.644444
provenance_206,Wales,52.21962,-3.93517
provenance_078,Kranj,46.23887 ,14.35561
provenance_135,Rasdorf,50.716667,9.9
provenance_096,Metz,49.116111 ,6.172222
provenance_146,Rome,41.893056,12.482778 
provenance_129,"Prague, St. George Monastery",50.091208, 14.4025
provenance_121,Paris,48.856667 ,2.352222
provenance_163,Spain,40.416944,-3.703333
provenance_097,Milan,45.466667 ,9.166667
provenance_080,Köln,50.9425,6.958889
provenance_100,MonteCassino,41.49,13.814
provenance_021,Bellelay Abbey,47.263784,7.168377
provenance_006,Amersfoort,52.1525,5.386944
provenance_119,Padova,45.416667 ,11.866667
provenance_148,Rupertsberg,49.965815,7.889203
provenance_046,Eichstätt,48.891944,11.183889
provenance_061,Germany (south),48.338747,10.353202
provenance_056,France,47.084444 ,2.396389
provenance_057,"France,  South ",43.614991,1.177855
provenance_128,Prague,50.0875, 14.421389
provenance_219,Rajhrad,49.090239,16.603886
provenance_218,"Braga, Catedral",41.5499,-8.42736
provenance_220,Płock,52.55,19.7
provenance_221,Staniątki,50.010278,20.198611
provenance_222,Pilsen,49.741389,13.3825
provenance_223,Cluny,46.434843,4.659474
provenance_224,Bratislava,48.144722,17.112778
provenance_225,Bohemia,50.0,15.401389
provenance_226,Slovakia,48.735556,19.145833
provenance_227,Tyniec,50.0108,19.8203
provenance_228,Huesca,42.1401,-0.408897
provenance_229,Barbastro,42.033333,0.116667
provenance_230,Monasterio de Santa Cruz de la Serós (Huesca),42.5224,-0.6741
provenance_231,St sauveur de Redon,47.65,-2.084
provenance_232,Colegiata de Sant Feliu de Girona,41.987882,2.824912
provenance_233,Abbaye Saint-Corneille de Compiègne,49.417389,2.824603
provenance_234,Sant Cugat (Barcelona),41.467778,2.083333
provenance_235,Silos,41.9625,-3.419722
provenance_236,San Juan de la Peña,42.507444,-0.673278
provenance_237,Nevers,46.992778,3.161667
provenance_238,Tarazona,41.904444,-1.7225
provenance_239,Cathédrale de Rouen,49.4402,1.095
provenance_240,A l’usage de la cathédrale Notre-Dame de Laon,49.564167,3.625
provenance_241,"Arouca, Mosteiro de Santa Maria",40.928351399436515,-8.247185039518113
provenance_242,Coimbra,40.211111,-8.428889
provenance_243,Saint-Sernin de Toulouse,43.608414,1.441883
provenance_244,Monasterio de San Salvador de Celanova (Ourense),42.152278,-7.956869
provenance_245,Saint Yrieix,45.5153,1.2042
provenance_246,Alcobaça,39.548333,-8.98
provenance_247,Lubiń,51.965,16.899722
provenance_248,Kolín,50.028194,15.200634
provenance_249,Cathédrale d'Arles,43.676667,4.628056
provenance_250,Convento de las clarisas de la Santísima Trinidad (Valencia),39.480161,-0.372103
provenance_251,Auch,43.646389,0.585556
provenance_252,Minden,52.283333,8.916667
provenance_253,Canónica de Sant Martí Sacosta (Girona),41.984899,2.826794
provenance_254,"San Millán, La Rioja",42.325833,-2.865
provenance_255,St. Mary Church in Gdańsk,54.3499,18.6533
provenance_256,London,51.507222,-0.1275
provenance_257,Évora,38.55,-7.95
